sale_date,sale_time,file_number,case_number,firm_name,address,city,county,zip_code,opening_bid,required_down,sale_amount,continuance,sold_to,last_updated
2018-04-25 10:30:00,10:30 AM,38-854,10 CH 54059,"McCalla Raymer Leibert Pierce, LLC",4054 WEST GEORGE STREET,CHICAGO,Cook,60641,205140.00,25,205140.00,,Plaintiff,2018-05-30 20:27:15.902861
2018-04-25 10:30:00,10:30 AM,38-2334,16 CH 13419,"McCalla Raymer Leibert Pierce, LLC","4426 NORTH RACINE AVENUE, UNIT 2S",CHICAGO,Cook,60640,213310.00,25,290000.00,,Third Party Bidder,2018-05-30 20:27:16.031865
2018-04-25 10:30:00,10:30 AM,38-2315,15 CH 6039,"McCalla Raymer Leibert Pierce, LLC",4732 NORTH KELSO AVENUE,CHICAGO,Cook,60630,314858.41,25,314858.41,,Plaintiff,2018-05-30 20:27:16.130865
2018-04-25 10:30:00,10:30 AM,38-1138,17 CH 12023,"SHAPIRO KREISMAN & ASSOCIATES, LLC",6016 SOUTH ALBANY AVENUE,CHICAGO,Cook,60629,124538.81,25,124638.81,,Third Party Bidder,2018-05-30 20:27:16.232858
2018-04-25 10:30:00,10:30 AM,38-2295,13 CH 22008,"McCalla Raymer Leibert Pierce, LLC",617 NORTH SAWYER AVENUE,CHICAGO,Cook,60624,83950.00,25,83950.00,,Plaintiff,2018-05-30 20:27:16.340859
2018-04-25 10:30:00,10:30 AM,38-1135,17 CH 11934,"SHAPIRO KREISMAN & ASSOCIATES, LLC",6929 SOUTH WASHTENAW AVENUE,CHICAGO,Cook,60629,60465.00,25,114000.00,,Third Party Bidder,2018-05-30 20:27:16.443860
2018-04-25 10:30:00,10:30 AM,38-1389,12 CH 05954,"McCalla Raymer Leibert Pierce, LLC",7634 SOUTH HERMITAGE AVENUE,CHICAGO,Cook,60620,105850.00,25,105850.00,,Plaintiff,2018-05-30 20:27:16.571860
2018-04-25 10:30:00,10:30 AM,38-1306,17 CH 4964,"JOHNSON, BLUMBERG & ASSOCIATES, LLC",7738 S MARSHFIELD AVE.,CHICAGO,Cook,60620,31311.26,25,44000.00,,Third Party Bidder,2018-05-30 20:27:16.726861
2018-04-25 10:30:00,10:30 AM,38-2210,15 CH 17146,"HEAVNER, BEYERS & MIHLAR, LLC",8138 S. KIMBARK AVE.,CHICAGO,Cook,60619,76240.68,25,76240.68,,Plaintiff,2018-05-30 20:27:16.826862
2018-04-25 10:30:00,10:30 AM,38-1084,17 CH 6880,WEISS MCCLELLAND LLC,8359 South Keating Avenue,CHICAGO,Cook,60652,85529.29,25,85529.29,,Plaintiff,2018-05-30 20:27:16.922860
2018-04-25 10:30:00,10:30 AM,38-844,2016 CH 14252,"McCalla Raymer Leibert Pierce, LLC",8442 SOUTH MARQUETTE AVENUE,CHICAGO,Cook,60617,29400.00,25,29400.00,,Plaintiff,2018-05-30 20:27:17.039859
2018-04-25 10:30:00,10:30 AM,38-941,15 CH 11191,"Anselmo Lindberg & Associates, LLC",9139 SOUTH YATES BOULEVARD,CHICAGO,Cook,60617,67500.00,25,67500.00,,Plaintiff,2018-05-30 20:27:17.189859
2018-04-26 10:30:00,10:30 AM,38-1223,16 CH 15353,"McCalla Raymer Leibert Pierce, LLC",3812 WEST 76TH STREET,CHICAGO,Cook,60652,116800.00,25,120100.00,,Third Party Bidder,2018-05-30 20:27:17.452861
2018-04-26 10:30:00,10:30 AM,38-2237,16 CH 839,RANDALL S. MILLER & ASSOCIATES,4919 W. LEXINGTON ST.,CHICAGO,Cook,60644,75000.00,25,75000.00,,Plaintiff,2018-05-30 20:27:17.583862
2018-04-26 10:30:00,10:30 AM,38-2588,16 CH 006588,"CODILIS & ASSOCIATES, P.C.",8032 S. UNION AVENUE,CHICAGO,Cook,60620,25550.00,25,25550.00,,Plaintiff,2018-05-30 20:27:17.858865
2018-04-27 10:30:00,10:30 AM,38-2609,17 CH 7559,NOONAN & LIEBERMAN,10146 S. PERRY AVE.,CHICAGO,Cook,60628,100.00,25,4000.00,,Plaintiff,2018-05-30 20:27:18.056860
2018-04-27 10:30:00,10:30 AM,38-2442,17 CH 5987,RANDALL S. MILLER & ASSOCIATES,1022 W. 34TH PLACE,CHICAGO,Cook,60608,200000.00,25,200000.00,,Plaintiff,2018-05-30 20:27:18.150859
2018-04-27 10:30:00,10:30 AM,38-757,16 CH 004200,"CODILIS & ASSOCIATES, P.C.",1025 N. MARSHFIELD AVENUE,CHICAGO,Cook,60622,637500.00,25,850000.00,,Third Party Bidder,2018-05-30 20:27:18.279861
2018-04-27 10:30:00,10:30 AM,38-1006,17 CH 10464,"Anselmo Lindberg & Associates, LLC",141 NORTH LONG AVENUE,CHICAGO,Cook,60644,83743.51,25,83743.51,,Plaintiff,2018-05-30 20:27:18.400860
2018-04-27 10:30:00,10:30 AM,38-883,14 CH 2658,"McCalla Raymer Leibert Pierce, LLC",3854 NORTH GREENVIEW ST,CHICAGO,Cook,60613,810123.78,25,810223.78,,Third Party Bidder,2018-05-30 20:27:18.512859
2018-04-27 10:30:00,10:30 AM,38-1058,16 CH 009118,"CODILIS & ASSOCIATES, P.C.",5429 W. IOWA STREET,CHICAGO,Cook,60651,75000.00,25,75000.00,,Plaintiff,2018-05-30 20:27:18.613862
2018-04-27 10:30:00,10:30 AM,38-2619,17 CH 13701,"POTESTIVO & ASSOCIATES, P.C.",6929 S. UNION AVENUE,CHICAGO,Cook,60621,,25,22000.00,,Third Party Bidder,2018-05-30 20:27:18.714861
2018-04-27 10:30:00,10:30 AM,38-2612,09 CH 16130,WEISS MCCLELLAND LLC,9554 SOUTH WALLACE STREET,CHICAGO,Cook,60628,20805.00,25,57100.00,,Third Party Bidder,2018-05-30 20:27:18.808858
2018-04-27 10:30:00,10:30 AM,38-2251,15 CH 12503,"McCalla Raymer Leibert Pierce, LLC",9805 SOUTH THROOP STREET,CHICAGO,Cook,60643,129210.00,25,129210.00,,Plaintiff,2018-05-30 20:27:18.907860
2018-04-27 10:30:00,10:30 AM,38-1144,17 CH 1792,"SHAPIRO KREISMAN & ASSOCIATES, LLC",9926 SOUTH CLYDE AVENUE,CHICAGO,Cook,60617,54750.00,25,54750.00,,Plaintiff,2018-05-30 20:27:19.018860
2018-04-30 10:30:00,10:30 AM,38-53,2017 CH 11013,"CODILIS & ASSOCIATES, P.C.",11634 S NORMAL AVE,CHICAGO,Cook,60628,26398.85,25,26498.85,,Third Party Bidder,2018-05-30 20:27:19.213859
2018-04-30 10:30:00,10:30 AM,38-57,2017 CH 11995,"CODILIS & ASSOCIATES, P.C.",3912 W. FLOURNOY STREET,CHICAGO,Cook,60624,37000.00,25,48600.00,,Third Party Bidder,2018-05-30 20:27:19.329859
